city_ascii;province_id;province_name;lat;lng;population;density
Toronto;ON;Ontario;43.7417;-79.3733;5429524;4334.4
Montreal;QC;Quebec;45.5089;-73.5617;3519595;3889
Vancouver;BC;British Columbia;49.25;-123.1;2264823;5492.6
Calgary;AB;Alberta;51.05;-114.0667;1239220;1501.1
Edmonton;AB;Alberta;53.5344;-113.4903;1062643;1360.9
Ottawa;ON;Ontario;45.4247;-75.695;989567;334
Mississauga;ON;Ontario;43.6;-79.65;721599;2467.6
Winnipeg;MB;Manitoba;49.8844;-97.1464;705244;1430
Quebec City;QC;Quebec;46.8139;-71.2081;705103;1173.2
Hamilton;ON;Ontario;43.2567;-79.8692;693645;480.6
Brampton;ON;Ontario;43.6833;-79.7667;593638;2228.7
Surrey;BC;British Columbia;49.19;-122.8489;517887;1636.8
Kitchener;ON;Ontario;43.4186;-80.4728;470015;3433.5
Laval;QC;Quebec;45.5833;-73.75;422993;1710.9
Halifax;NS;Nova Scotia;44.6475;-63.5906;403131;73.4
London;ON;Ontario;42.9836;-81.2497;383822;913.1
Victoria;BC;British Columbia;48.4283;-123.3647;335696;4406.3
Markham;ON;Ontario;43.8767;-79.2633;328966;1549.2
St. Catharines;ON;Ontario;43.1833;-79.2333;309319;1384.8
Niagara Falls;ON;Ontario;43.06;-79.1067;308596;419.9
Vaughan;ON;Ontario;43.8333;-79.5;306233;1119.4
Gatineau;QC;Quebec;45.4833;-75.65;276245;773.7
Windsor;ON;Ontario;42.2833;-83;276165;1484.3
Saskatoon;SK;Saskatchewan;52.1333;-106.6833;246376;1080
Longueuil;QC;Quebec;45.5333;-73.5167;239700;2002
Burnaby;BC;British Columbia;49.2667;-122.9667;232755;2568.7
Regina;SK;Saskatchewan;50.4547;-104.6067;215106;1195.2
Richmond;BC;British Columbia;49.1667;-123.1333;198309;1534.1
Richmond Hill;ON;Ontario;43.8667;-79.4333;195022;1928.8
Oakville;ON;Ontario;43.45;-79.6833;193832;1314.2
Burlington;ON;Ontario;43.3167;-79.8;183314;946.8
Barrie;ON;Ontario;44.3711;-79.6769;172657;1428
Oshawa;ON;Ontario;43.9;-78.85;166000;1027
Sherbrooke;QC;Quebec;45.4;-71.9;161323;456
Saguenay;QC;Quebec;48.4167;-71.0667;144746;128.5
Levis;QC;Quebec;46.8;-71.1833;143414;319.4
Kelowna;BC;British Columbia;49.8881;-119.4956;142146;601.3
Abbotsford;BC;British Columbia;49.05;-122.3167;141397;376.5
Coquitlam;BC;British Columbia;49.2839;-122.7919;139284;1138.9
Trois-Rivieres;QC;Quebec;46.35;-72.55;134413;1581.2
Guelph;ON;Ontario;43.55;-80.25;131794;1511.1
Cambridge;ON;Ontario;43.3972;-80.3114;129920;1149.6
Whitby;ON;Ontario;43.8833;-78.9417;128377;876.1
Ajax;ON;Ontario;43.8583;-79.0364;119677;1634.2
Langley;BC;British Columbia;49.1044;-122.5827;117285;380.8
Saanich;BC;British Columbia;48.484;-123.381;114148;1099.9
Terrebonne;QC;Quebec;45.7;-73.6333;111575;687.1
Milton;ON;Ontario;43.5083;-79.8833;110128;230.11
St. John's;NL;Newfoundland and Labrador;47.4817;-52.7971;108860;244.1
Moncton;NB;New Brunswick;46.1328;-64.7714;108620;506
Thunder Bay;ON;Ontario;48.3822;-89.2461;107909;330.1
Dieppe;NB;New Brunswick;46.0989;-64.7242;107068;469.6
Waterloo;ON;Ontario;43.4667;-80.5167;104986;1520.7
Delta;BC;British Columbia;49.0847;-123.0586;102238;567.4
Chatham;ON;Ontario;42.4229;-82.1324;101647;41.4
Red Deer;AB;Alberta;52.2681;-113.8111;100418;958.8
Kamloops;BC;British Columbia;50.6761;-120.3408;100046;301.7
Brantford;ON;Ontario;43.1667;-80.25;97496;1345.9
Cape Breton;NS;Nova Scotia;46.1389;-60.1931;94285;38.8
Lethbridge;AB;Alberta;49.6942;-112.8328;92729;759.5
Saint-Jean-sur-Richelieu;QC;Quebec;45.3167;-73.2667;92394;419.7
Clarington;ON;Ontario;43.935;-78.6083;92013;138.3
Pickering;ON;Ontario;43.8354;-79.089;91771;383.1
Nanaimo;BC;British Columbia;49.1642;-123.9364;90504;918
Sudbury;ON;Ontario;46.49;-81.01;88054;49.7
North Vancouver;BC;British Columbia;49.3641;-123.0066;85935;534.6
Brossard;QC;Quebec;45.4667;-73.45;85721;1896
Repentigny;QC;Quebec;45.7333;-73.4667;84965;1395.4
Newmarket;ON;Ontario;44.05;-79.4667;84224;2190.5
Chilliwack;BC;British Columbia;49.1577;-121.9509;83788;320.2
White Rock;BC;British Columbia;49.025;-122.8028;82368;3893.1
Maple Ridge;BC;British Columbia;49.2167;-122.6;82256;308.3
Peterborough;ON;Ontario;44.3;-78.3167;82094;1261.2
Kawartha Lakes;ON;Ontario;44.35;-78.75;75423;24.5
Prince George;BC;British Columbia;53.9169;-122.7494;74003;232.5
Sault Ste. Marie;ON;Ontario;46.5333;-84.35;73368;328.6
Sarnia;ON;Ontario;42.9994;-82.3089;71594;434.3
